Local Name,Scientific Name,Common English Name,Synonyms/Regional Names,Family,Growth Habit,Key Visual Identifiers,Active Phytochemicals,Core Bioactivity,Primary Indications,Traditional Preparation Methods,Standard Dosage,Safe Vehicle/Anupana,Toxicity Profile,Contraindications,Adverse Reactions
Akondo,Calotropis gigantea  /  Calotropis procera,Giant Milkweed / Giant Calotrope,"Madar, Arka, Aak, Baro akanda, Apple of Sodom",Apocynaceae,Shrub,Large waxy oval leaves with whitish bloom; clusters of star-shaped white or lavender flowers with a central crown; contains thick milky latex.,"Calotropin, calotoxin, uscharin, calactin, calotropogenin, cardiac glycosides, gigantin.","Anti-inflammatory, analgesic, antimicrobial, purgative, cytotoxic, Shothahara.","Skin diseases, joint pain, asthma, rheumatism, toothache, abdominal pain, helminthiasis.",Latex applied topically; leaf poultice; root bark decoction; leaf extract with honey.,Root bark powder: 0.5–1g; Flowers: 1–2g; restricted use.,"Honey, Ghee, or Warm water",Highly toxic raw; latex causes severe skin/eye irritation and blindness; cardiotoxic.,"Pregnancy, lactation, children, cardiac conditions.","Severe vomiting, diarrhea, bradycardia, convulsions, skin blistering."
Amloki,Phyllanthus emblica  /  Emblica officinalis,Emblic Myrobalan / Indian Gooseberry,"Amla, Amalaki, Emblic, Nellikkai",Phyllanthaceae,Tree,Feathery light green leaves; small round greenish-yellow fleshy fruits with six vertical stripes; crooked trunk.,"Vitamin C (Ascorbic acid), Gallic acid, Ellagic acid, Emblicanin A & B, Phyllantin.","Antioxidant, Immunomodulatory, Hepatoprotective, Rejuvenative (Rasayana), Digestive.","Vitamin C deficiency (scurvy), dyspepsia, gastritis, hair loss, jaundice, anemia, Type 2 Diabetes.","Fresh juice, dried fruit powder (Churna), decoction, Murabba (preserve), pickled fruit.",3–6g powder; 10–20ml juice.,"Honey, Warm water, or Ghee.",Generally safe; edible fruit.,"Acute diarrhea, dysentery, iron deficiency (long-term high use).",Hyperacidity if taken excessively on empty stomach.
Arjun,Terminalia arjuna,Arjun Tree,"Arjuna, Arjun Bark, Koha, Kahu",Combretaceae,Tree,Smooth grey bark peeling in flakes; buttressed trunk; oblong leaves; 5-winged woody fibrous fruit.,"Arjunolic acid, Tannins, Saponins, Flavonoids, Co-enzyme Q10, Arjunetin.","Cardioprotective, Hypolipidemic, Hypotensive, Cardiotonic, Styptic.","Angina pectoris, heart failure, hypertension, hypercholesterolemia, bone fractures, wounds.","Bark decoction in milk (Arjuna Ksheerapaka), bark powder, aqueous extract.",3–6g bark powder; 10–20ml decoction.,"Milk, Warm water, or Honey.",Low toxicity; safe at therapeutic doses.,Severe bradycardia; not a substitute for emergency cardiac care.,Mild constipation or flatulence due to high tannin content.
Basok,Justicia adhatoda  /  Adhatoda vasica,Malabar Nut,"Vasaka, Adulsa, Vasa, Sada basak",Acanthaceae,Shrub,Large lanceolate leaves; white two-lipped flowers with purple streaks in dense spikes; four-seeded dehiscent capsule.,"Quinazoline alkaloids (Vasicine, Vasicinone), Adhatodine, Anisotine, Saponins, Phytol.","Bronchodilator, Expectorant, Antitussive, Anti-inflammatory, Secretolytic.","Asthma, bronchitis, chronic cough, tuberculosis, malaria, dysentery, respiratory congestion.","Leaf juice extraction, decoction of roots/bark, infused tea, leaf powder.",5–10ml juice; 10–20ml decoction; 1–3g powder.,Honey or Warm water.,Safe at therapeutic doses; cytotoxic in very high concentrations.,Pregnancy (due to oxytocic/abortifacient properties).,"Nausea, vomiting, or diarrhea at high doses."
Bohera,Terminalia bellirica,Belleric Myrobalan,"Bibhitaki, Baheda, Vibhitak, Tandrikkai",Combretaceae,Tree,Large deciduous tree; greyish-brown bark; globular/ovoid fruits covered in fine velvety hair.,"Gallic acid, Ellagic acid, Bellericanin, β-sitosterol, Tannins, Chebulagic acid.","Laxative, Anthelmintic, Antimicrobial, Antitussive, Antipyretic.","Constipation, cough, throat infections, eye disorders, hair health, digestive problems.","Fruit rind powder, part of Triphala formulation, decoction of roots/bark.",3–6g powder.,Warm water or Honey.,Safe at standard doses; seeds may be narcotic.,"Pregnancy, severe dehydration, dry cough/Vata conditions.",Excessive use may cause loose stools or dryness of mouth.
Devil's Backbone,Euphorbia tithymaloides  /  Pedilanthus tithymaloides,Slipper Flower / Zig-zag Plant,"Rang-chita, Naagfani, Naagdon, Christmas Candle",Euphorbiaceae,Shrub,Distinctive zig-zag green fleshy stems; slipper-shaped red/pink flowers; thick succulent leaves; milky latex.,"Diterpenoids, Lectins, Saponins, Euphol, Germanicol, Cycloartenol.","Emetic, Anti-inflammatory, Antimicrobial, Hemostatic.","Warts, ringworm, insect stings, scorpion stings, localized inflammation/swelling, asthma.","Topical latex application, leaf poultice, leaf tea (with extreme caution).",External application only; no standard internal dose.,Topical carrier oils.,Latex is a caustic irritant; toxic if ingested.,"Oral consumption without supervision, pregnancy, application on open wounds.","Dermatitis, skin blistering, severe vomiting if swallowed."
Haritoki,Terminalia chebula,Chebulic Myrobalan,"Haritaki, Harad, Abhaya, Vijaya, Ink Nut",Combretaceae,Tree,Oval leaves with glands at petiole base; ribbed ellipsoidal woody fruit turning black when dry.,"Chebulinic acid, Chebulagic acid, Corilagin, Gallic acid, Ellagic acid, Tannins, Anthraquinones.","Purgative, Laxative, Antioxidant, Neuroprotective, Rejuvenative (Rasayana).","Chronic constipation, digestive weakness, ulcers, cough, asthma, detoxification, memory loss.","Dried fruit powder (Churna), decoction, Triphala component, fruit chewing.",3–6g powder.,"Warm water, Honey, Ghee, or Jaggery (varies by season/Ritu Haritaki).","Safe for long-term use; known as ""King of Medicine.""","Pregnancy, severe exhaustion, acute dehydration, children under 5 years.","Mild abdominal cramps, dehydration if overused as purgative."
Jarmani Lata,Mikania micrantha  /  Mikania cordata,Mile-a-minute weed,"Bitter vine, Refugee Lata, Topani lata, Japanese Pith",Asteraceae,Climber,Heart-shaped leaves; rapidly growing vine; small white or cream-colored flower clusters.,"Mikanolide, Dihydromikanolide, Sesquiterpene lactones, Flavonoids.","Hemostatic, Antimicrobial, Wound healing, Analgesic, Hepatoprotective.","External bleeding (cuts/wounds), skin itches, insect bites, stomach ache, high cholesterol.",Fresh leaf juice or crushed leaf paste applied topically; aqueous extract.,Topical application as needed; 50–100mg/kg in experimental studies.,Direct application or Water.,Safe for external use; potential hepatotoxicity to livestock/humans if ingested raw.,"Internal use without supervision, deep puncture wounds without cleaning.",Contact dermatitis in sensitive individuals.
Joba,Hibiscus rosa-sinensis,Hibiscus / China Rose,"Japa, Gudhal, Chinese Hibiscus, Shoe Flower",Malvaceae,Shrub,Large trumpet-shaped flowers (usually red) with prominent central staminal column; serrated leaves.,"Anthocyanins, Quercetin, Flavonoids, Mucilage, Vitamin C, AHAs.","Hypotensive, Hair tonic, Emmenagogue, Anti-inflammatory, Astringent.","Hair loss, menstrual irregularities, hypertension, dandruff, skin redness/ageing.","Flower paste for hair, petal infusion (tea), oil infusion, root preparations (TCM).",5–10ml flower juice; 1–2 cups tea (5–10 flowers).,"Water, Honey, Coconut oil, or Rosewater.",Generally safe and non-toxic.,Pregnancy (due to potential emmenagogue/anti-ovulatory effects).,May lower blood pressure excessively if combined with medication; mild stomach upset.
Lemongrass,Cymbopogon  ( C. citratus ),Lemongrass,"Gandhabena, Gavati Chaha, Ghash, Citronella grass",Poaceae,Herb (Grass),Tall tufted grass; linear aromatic leaves; citrus scent when crushed; bulbous base.,"Citral (approx. 70%), Geraniol, Myrcene, Citronellal, Luteolin.","Carminative, Antifungal, Sedative, Antipyretic, Antispasmodic.","Digestive distress (flatulence, cramps), fever, common cold, fungal infections, anxiety, insomnia.","Infusion (tea) of leaves, essential oil extraction, steam distillation.",1–2 cups of infusion daily; 1–2 drops oil (diluted).,Warm water or Honey.,Safe as food; concentrated oil is a skin irritant.,"Pregnancy (large doses), renal disease, hypersensitivity to grass oils.","Skin rash (topical oil), dizziness, dry mouth."
Nayontara,Catharanthus roseus  /  Vinca rosea,Madagascar Periwinkle,"Sadabahar, Sadaphuli, Vinca, Nayantara",Apocynaceae,Herb / Sub-shrub,"Glossy green leaves; five-petaled flowers (pink, white, or purple); cylindrical pod fruits.","Vincristine, Vinblastine, Ajmalicine, Serpentine, Alkaloids.","Antineoplastic (Anti-cancer), Antidiabetic, Hypotensive, Anti-mitotic.","Leukemia, Hodgkin's disease, Diabetes mellitus, hypertension.","Leaf decoction, chewing fresh leaves (traditional/folk use), leaf juice.",2–3 leaves daily (strictly controlled/monitored).,Water.,Highly toxic; contains cytotoxic alkaloids affecting bone marrow and nerves.,"Pregnancy, breastfeeding, liver or kidney disease.","Hair loss, nausea, neuropathy, bone marrow suppression (low white blood cell count)."
